ms,label,tempC,humPct,press_hPa,gas_ohm,log_gas,dloggas_dt,ema_fast,ema_slow,ema_diff
67497,air,28.67,49.43,997.27,33892,10.430934,0.0,10.430934,10.430934,0.0
67847,air,28.59,49.43,997.28,39246,10.577605,0.419061,10.482268,10.439734,0.042535
68197,air,28.63,49.4,997.29,45408,10.723444,0.416682,10.56668,10.456757,0.109923
68547,air,28.72,49.32,997.29,51599,10.851257,0.365181,10.666282,10.480427,0.185855
68897,air,28.82,49.2,997.29,57625,10.961712,0.315584,10.769682,10.509304,0.260378
69247,air,28.92,49.04,997.3,63814,11.063728,0.291476,10.872598,10.54257,0.330028
69597,air,29.01,48.87,997.31,69433,11.148117,0.241111,10.969029,10.578903,0.390126
69947,air,29.09,48.71,997.32,74654,11.220619,0.207149,11.057086,10.617406,0.43968
70297,air,29.17,48.54,997.32,79659,11.28551,0.185402,11.137034,10.657493,0.479542
70647,air,29.23,48.37,997.31,84189,11.340819,0.158027,11.208359,10.698493,0.509866
70997,air,29.29,48.19,997.32,88610,11.392,0.146231,11.272633,10.740104,0.532529
71347,air,29.33,48.03,997.32,92394,11.433817,0.119476,11.329047,10.781727,0.54732
71697,air,29.38,47.86,997.31,94432,11.455635,0.062338,11.373353,10.822161,0.551192
72047,air,29.41,47.7,997.31,97599,11.488623,0.09425,11.413697,10.862148,0.551549
72397,air,29.44,47.54,997.3,100566,11.51857,0.085564,11.450402,10.901534,0.548868
72747,air,29.47,47.4,997.31,103211,11.544531,0.074174,11.483347,10.940114,0.543233
73097,air,29.5,47.27,997.32,105733,11.568672,0.068975,11.51321,10.977828,0.535382
73447,air,29.52,47.13,997.33,108173,11.591487,0.065185,11.540606,11.014647,0.525959
73797,air,29.54,46.99,997.33,110294,11.610905,0.055479,11.56521,11.050423,0.514788
74147,air,29.56,46.87,997.33,112951,11.634709,0.068013,11.589535,11.08548,0.504055
74497,air,29.57,46.75,997.32,114795,11.650903,0.046267,11.611013,11.119405,0.491609
74847,air,29.58,46.63,997.32,115899,11.660475,0.027349,11.628325,11.15187,0.476455
75197,air,29.6,46.51,997.31,118089,11.679193,0.053482,11.646129,11.183509,0.46262
75547,air,29.61,46.41,997.3,119936,11.694714,0.044343,11.663134,11.214181,0.448953
75897,air,29.62,46.32,997.31,121315,11.706145,0.032662,11.678187,11.243699,0.434488
